case_id,descriptive_error_label,label_source,label_rule,surface_error_type,execution_error_type,schema_mismatch_flag
dtest_case_0000,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0001,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0002,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0003,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0004,unknown,rule,endpoint_success,none,none,False
dtest_case_0005,unknown,rule,endpoint_success,none,none,False
dtest_case_0006,unknown,rule,endpoint_success,none,none,False
dtest_case_0007,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0008,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0009,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0010,unknown,rule,endpoint_success,none,none,False
dtest_case_0011,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0012,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0013,unknown,rule,endpoint_success,none,none,False
dtest_case_0014,unknown,rule,endpoint_success,none,none,False
dtest_case_0015,unknown,rule,endpoint_success,none,none,False
dtest_case_0016,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0017,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0018,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0019,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0020,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0021,unknown,rule,endpoint_success,none,none,False
dtest_case_0022,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0023,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0024,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0025,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0026,unknown,rule,endpoint_success,none,none,False
dtest_case_0027,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0028,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0029,unknown,rule,endpoint_success,none,none,False
dtest_case_0030,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0031,unknown,rule,endpoint_success,none,none,False
dtest_case_0032,unknown,rule,endpoint_success,none,none,False
dtest_case_0033,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0034,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0035,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0036,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0037,unknown,rule,endpoint_success,none,none,False
dtest_case_0038,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0039,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0040,unknown,rule,endpoint_success,none,none,False
dtest_case_0041,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0042,unknown,rule,endpoint_success,none,none,False
dtest_case_0043,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0044,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0045,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0046,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0047,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0048,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0049,unknown,rule,endpoint_success,none,none,False
dtest_case_0050,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0051,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0052,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0053,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0054,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0055,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0056,unknown,rule,endpoint_success,none,none,False
dtest_case_0057,unknown,rule,endpoint_success,none,none,False
dtest_case_0058,unknown,rule,endpoint_success,none,none,False
dtest_case_0059,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0060,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0061,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0062,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0063,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0064,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0065,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0066,unknown,rule,endpoint_success,none,none,False
dtest_case_0067,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0068,unknown,rule,endpoint_success,none,none,False
dtest_case_0069,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0070,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0071,unknown,rule,endpoint_success,none,none,False
dtest_case_0072,unknown,rule,endpoint_success,none,none,False
dtest_case_0073,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0074,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0075,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0076,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0077,unknown,rule,endpoint_success,none,none,False
dtest_case_0078,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0079,unknown,rule,endpoint_success,none,none,False
dtest_case_0080,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0081,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0082,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0083,unknown,rule,endpoint_success,none,none,False
dtest_case_0084,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0085,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0086,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0087,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0088,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0089,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0090,unknown,rule,endpoint_success,none,none,False
dtest_case_0091,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0092,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0093,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0094,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0095,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0096,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0097,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0098,unknown,rule,endpoint_success,none,none,False
dtest_case_0099,unknown,rule,endpoint_success,none,none,False
dtest_case_0100,unknown,rule,endpoint_success,none,none,False
dtest_case_0101,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0102,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0103,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0104,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0105,unknown,rule,endpoint_success,none,none,False
dtest_case_0106,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0107,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0108,unknown,rule,endpoint_success,none,none,False
dtest_case_0109,unknown,rule,endpoint_success,none,none,False
dtest_case_0110,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0111,unknown,rule,endpoint_success,none,none,False
dtest_case_0112,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0113,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0114,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0115,execution,heuristic,error_type_mapping_execution_error,execution_error,execution_error,False
dtest_case_0116,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0117,unknown,rule,endpoint_success,none,none,False
dtest_case_0118,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0119,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0120,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0121,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0122,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0123,unknown,rule,endpoint_success,none,none,False
dtest_case_0124,unknown,rule,endpoint_success,none,none,False
dtest_case_0125,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0126,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0127,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0128,unknown,rule,endpoint_success,none,none,False
dtest_case_0129,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0130,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0131,unknown,rule,endpoint_success,none,none,False
dtest_case_0132,unknown,rule,endpoint_success,none,none,False
dtest_case_0133,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0134,semantic,heuristic,error_type_mapping_semantic_error,semantic_error,semantic_error,False
dtest_case_0135,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0136,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
dtest_case_0137,syntax,heuristic,error_type_mapping_syntax_error,syntax_error,syntax_error,False
dtest_case_0138,schema,heuristic,error_type_mapping_schema_error,schema_error,schema_error,True
