case_id,model_name,predicted_onset,predicted_pattern,score_or_rank,included_terms
dtest_case_0000,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0000,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0000,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0000,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0000,endpoint_heuristic_uniform_random_seeded,t1,boundary_case,0.424,random
dtest_case_0000,simple_step_level,t1,local_verification_collapse,0.505,step_FE
dtest_case_0000,descriptive_error_label,t0,dependency_mediated_propagation,0.346,error_label
dtest_case_0000,step_FE_only,t2,boundary_case,0.5,step_FE
dtest_case_0000,lag_only,none,dependency_mediated_propagation,0.259,lag
dtest_case_0000,A_only,t1,boundary_case,0.521,A
dtest_case_0000,I_nec_only,t1,dependency_mediated_propagation,0.41,I_nec
dtest_case_0000,A_plus_I_nec,t0,unverifiable_or_excluded,0.526,A+I_nec
dtest_case_0000,step_FE_plus_lag,none,boundary_case,0.511,step_FE+lag
dtest_case_0001,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0001,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0001,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0001,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0001,endpoint_heuristic_uniform_random_seeded,t1,local_verification_collapse,0.449,random
dtest_case_0001,simple_step_level,t2,burst_associated_degradation,0.432,step_FE
dtest_case_0001,descriptive_error_label,t1,local_verification_collapse,0.491,error_label
dtest_case_0001,step_FE_only,t2,burst_associated_degradation,0.352,step_FE
dtest_case_0001,lag_only,t2,burst_associated_degradation,0.452,lag
dtest_case_0001,A_only,t2,unverifiable_or_excluded,0.507,A
dtest_case_0001,I_nec_only,t2,dependency_mediated_propagation,0.407,I_nec
dtest_case_0001,A_plus_I_nec,none,dependency_mediated_propagation,0.351,A+I_nec
dtest_case_0001,step_FE_plus_lag,t1,burst_associated_degradation,0.549,step_FE+lag
dtest_case_0002,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0002,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0002,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0002,endpoint_heuristic_majority_onset_train,t1,majority_class,0.4,forced_majority
dtest_case_0002,endpoint_heuristic_uniform_random_seeded,not_identifiable,dependency_mediated_propagation,0.24,random
dtest_case_0002,simple_step_level,t0,unverifiable_or_excluded,0.591,step_FE
dtest_case_0002,descriptive_error_label,t0,dependency_mediated_propagation,0.439,error_label
dtest_case_0002,step_FE_only,t1,boundary_case,0.529,step_FE
dtest_case_0002,lag_only,t2,unverifiable_or_excluded,0.404,lag
dtest_case_0002,A_only,t0,burst_associated_degradation,0.495,A
dtest_case_0002,I_nec_only,none,local_verification_collapse,0.402,I_nec
dtest_case_0002,A_plus_I_nec,t1,local_verification_collapse,0.385,A+I_nec
dtest_case_0002,step_FE_plus_lag,t0,unverifiable_or_excluded,0.442,step_FE+lag
dtest_case_0003,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0003,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0003,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0003,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0003,endpoint_heuristic_uniform_random_seeded,t2,dependency_mediated_propagation,0.328,random
dtest_case_0003,simple_step_level,t2,burst_associated_degradation,0.323,step_FE
dtest_case_0003,descriptive_error_label,t1,local_verification_collapse,0.348,error_label
dtest_case_0003,step_FE_only,t0,dependency_mediated_propagation,0.307,step_FE
dtest_case_0003,lag_only,t2,boundary_case,0.367,lag
dtest_case_0003,A_only,t1,burst_associated_degradation,0.326,A
dtest_case_0003,I_nec_only,t2,unverifiable_or_excluded,0.409,I_nec
dtest_case_0003,A_plus_I_nec,t1,burst_associated_degradation,0.444,A+I_nec
dtest_case_0003,step_FE_plus_lag,t1,burst_associated_degradation,0.457,step_FE+lag
dtest_case_0004,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0004,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
dtest_case_0004,endpoint_heuristic_all_final,t2,uniform_assumption,0.33,forced_t2
dtest_case_0004,endpoint_heuristic_majority_onset_train,t0,majority_class,0.4,forced_majority
dtest_case_0004,endpoint_heuristic_uniform_random_seeded,not_identifiable,unverifiable_or_excluded,0.249,random
dtest_case_0004,simple_step_level,t2,local_verification_collapse,0.524,step_FE
dtest_case_0004,descriptive_error_label,t2,unverifiable_or_excluded,0.29,error_label
dtest_case_0004,step_FE_only,t2,local_verification_collapse,0.396,step_FE
dtest_case_0004,lag_only,t2,dependency_mediated_propagation,0.484,lag
dtest_case_0004,A_only,t2,boundary_case,0.529,A
dtest_case_0004,I_nec_only,t0,unverifiable_or_excluded,0.259,I_nec
dtest_case_0004,A_plus_I_nec,t1,unverifiable_or_excluded,0.582,A+I_nec
dtest_case_0004,step_FE_plus_lag,t2,unverifiable_or_excluded,0.508,step_FE+lag
dtest_case_0005,endpoint_only,not_identifiable,not_identifiable,0.0,none
dtest_case_0005,endpoint_heuristic_all_t0,t0,uniform_assumption,0.33,forced_t0
