case_id,checkpoint_id,step_position,checkpoint_text_or_structured_state,pre_verification_status,atomic_verification_pass,A_t,H_t,verifier_rule_triggered,verifier_error_code,unverifiable_flag
dtest_case_0000,dtest_case_0000_t0,t0,state_t0_for_dtest_case_0000,pass,True,0.938,0.109,,,False
dtest_case_0000,dtest_case_0000_t1,t1,state_t1_for_dtest_case_0000,fail,False,0.443,0.6,gate_check,,False
dtest_case_0000,dtest_case_0000_t2,t2,state_t2_for_dtest_case_0000,fail,False,0.055,0.594,A_threshold,,False
dtest_case_0001,dtest_case_0001_t0,t0,state_t0_for_dtest_case_0001,pass,True,0.829,0.23,,,False
dtest_case_0001,dtest_case_0001_t1,t1,state_t1_for_dtest_case_0001,fail,False,0.125,0.911,I_nec_trigger,V005,False
dtest_case_0001,dtest_case_0001_t2,t2,state_t2_for_dtest_case_0001,fail,False,0.449,0.984,A_threshold,V004,False
dtest_case_0002,dtest_case_0002_t0,t0,state_t0_for_dtest_case_0002,fail,False,0.384,0.506,A_threshold,V005,False
dtest_case_0002,dtest_case_0002_t1,t1,state_t1_for_dtest_case_0002,fail,False,0.045,0.642,pattern_matcher,V004,False
dtest_case_0002,dtest_case_0002_t2,t2,state_t2_for_dtest_case_0002,fail,False,0.458,0.757,H_divergence,V005,False
dtest_case_0003,dtest_case_0003_t0,t0,state_t0_for_dtest_case_0003,pass,True,0.917,0.095,,,False
dtest_case_0003,dtest_case_0003_t1,t1,state_t1_for_dtest_case_0003,pass,True,0.683,0.151,,,False
dtest_case_0003,dtest_case_0003_t2,t2,state_t2_for_dtest_case_0003,pass,True,0.886,0.073,,,False
dtest_case_0004,dtest_case_0004_t0,t0,state_t0_for_dtest_case_0004,pass,True,0.875,0.295,,,False
dtest_case_0004,dtest_case_0004_t1,t1,state_t1_for_dtest_case_0004,pass,True,0.678,0.347,,,False
dtest_case_0004,dtest_case_0004_t2,t2,state_t2_for_dtest_case_0004,pass,True,0.748,0.223,,,False
dtest_case_0005,dtest_case_0005_t0,t0,state_t0_for_dtest_case_0005,fail,False,0.325,0.851,burst_detector,,False
dtest_case_0005,dtest_case_0005_t1,t1,state_t1_for_dtest_case_0005,pass,True,0.655,0.295,,,False
dtest_case_0005,dtest_case_0005_t2,t2,state_t2_for_dtest_case_0005,fail,False,0.367,0.562,A_threshold,V001,False
dtest_case_0006,dtest_case_0006_t0,t0,state_t0_for_dtest_case_0006,pass,True,0.894,0.124,,,False
dtest_case_0006,dtest_case_0006_t1,t1,state_t1_for_dtest_case_0006,pass,True,0.954,0.21,,,False
dtest_case_0006,dtest_case_0006_t2,t2,state_t2_for_dtest_case_0006,fail,False,0.356,0.605,gate_check,V002,False
dtest_case_0007,dtest_case_0007_t0,t0,state_t0_for_dtest_case_0007,pass,True,0.949,0.308,,,False
dtest_case_0007,dtest_case_0007_t1,t1,state_t1_for_dtest_case_0007,pass,True,0.691,0.017,,,False
