case_id,checkpoint_id,step_id,step_position,split,model_source,H_t,H_t_minus_1,delta_H,A_t,A_t_plus_1,I_nec,I_plus,I_minus,burst_flag,gate_pass,unverifiable_flag,boundary_flag,difficulty_tier
dtest_case_0000,dtest_case_0000_t0,step_t0_0000,t0,dtest,gpt-4,0.1872,0.1161,0.0711,0.7743,0.3095,0.1398,0.2921,0.2947,False,True,False,False,complex
dtest_case_0000,dtest_case_0000_t1,step_t1_0000,t1,dtest,gpt-4,0.7639,0.1872,0.5767,0.304,0.2015,-0.365,0.4498,0.243,True,True,False,False,complex
dtest_case_0001,dtest_case_0001_t1,step_t1_0001,t1,dtest,gemini-pro,0.6487,0.2834,0.3653,0.0534,0.1401,-0.3539,0.2439,0.3403,True,False,False,False,hard
dtest_case_0002,dtest_case_0002_t1,step_t1_0002,t1,dtest,claude-3,0.525,0.2606,0.2644,0.0732,0.0573,0.2485,0.4986,0.3586,False,True,False,False,hard
dtest_case_0002,dtest_case_0002_t2,step_t2_0002,t2,dtest,claude-3,0.9128,0.525,0.3878,0.0524,0.0,0.1454,0.3614,0.3283,False,True,False,False,hard
dtest_case_0003,dtest_case_0003_t0,step_t0_0003,t0,dtest,claude-3,0.264,0.1925,0.0715,0.9435,0.682,0.384,0.3555,0.0798,False,True,False,False,medium
dtest_case_0003,dtest_case_0003_t2,step_t2_0003,t2,dtest,claude-3,0.2619,0.264,-0.0021,0.8975,0.7056,-0.0564,0.2531,0.3728,False,True,False,False,medium
dtest_case_0004,dtest_case_0004_t1,step_t1_0004,t1,dtest,claude-3,0.2876,0.1423,0.1453,0.809,0.8194,0.1745,0.1009,0.2738,False,True,False,False,complex
dtest_case_0004,dtest_case_0004_t2,step_t2_0004,t2,dtest,claude-3,0.1055,0.2876,-0.1821,0.6509,0.6217,0.1366,0.3031,0.3177,False,True,False,False,complex
dtest_case_0005,dtest_case_0005_t1,step_t1_0005,t1,dtest,gemini-pro,0.3903,0.2365,0.1538,0.793,0.9732,0.3955,0.1025,0.1517,False,False,False,False,easy
dtest_case_0005,dtest_case_0005_t2,step_t2_0005,t2,dtest,gemini-pro,0.3386,0.3903,-0.0517,0.6668,0.4714,0.314,0.3753,0.3198,False,False,False,False,easy
dtest_case_0006,dtest_case_0006_t0,step_t0_0006,t0,dtest,codellama,0.1246,0.0892,0.0354,0.8718,0.9631,0.0581,0.2942,0.2732,False,True,False,False,hard
dtest_case_0006,dtest_case_0006_t2,step_t2_0006,t2,dtest,codellama,0.3355,0.1246,0.2109,0.9649,0.8089,0.1699,0.2194,0.231,False,True,False,False,hard
dtest_case_0007,dtest_case_0007_t0,step_t0_0007,t0,dtest,gemini-pro,0.2066,0.1268,0.0798,0.6733,0.6916,0.1714,0.2158,0.1331,False,True,False,False,easy
dtest_case_0007,dtest_case_0007_t2,step_t2_0007,t2,dtest,gemini-pro,0.3275,0.2066,0.1209,0.7084,0.4887,0.1477,0.3707,0.2293,False,False,False,False,easy
dtest_case_0008,dtest_case_0008_t2,step_t2_0008,t2,dtest,mistral,0.351,0.2267,0.1243,0.9225,0.8867,0.0023,0.357,0.1976,False,False,False,False,medium
dtest_case_0009,dtest_case_0009_t0,step_t0_0009,t0,dtest,gemini-pro,0.0912,0.0107,0.0805,0.7826,0.7828,0.202,0.2511,0.2159,False,True,False,False,medium
dtest_case_0009,dtest_case_0009_t2,step_t2_0009,t2,dtest,gemini-pro,0.2136,0.0912,0.1224,0.9202,0.9171,0.1992,0.2828,0.2865,False,True,False,False,medium
dtest_case_0010,dtest_case_0010_t0,step_t0_0010,t0,dtest,claude-3,0.3807,0.2368,0.1439,0.7699,0.6909,0.1118,0.144,0.246,False,False,False,False,medium
dtest_case_0010,dtest_case_0010_t1,step_t1_0010,t1,dtest,claude-3,0.1056,0.3807,-0.2751,0.6853,0.7024,0.263,0.2965,0.0409,False,False,False,False,medium
dtest_case_0011,dtest_case_0011_t0,step_t0_0011,t0,dtest,gpt-4,0.366,0.3625,0.0035,0.878,0.3585,0.0872,0.0345,0.0309,False,True,False,False,hard
dtest_case_0011,dtest_case_0011_t2,step_t2_0011,t2,dtest,gpt-4,0.8782,0.366,0.5122,0.4598,0.4291,0.018,0.0828,0.0745,False,False,False,False,hard
dtest_case_0012,dtest_case_0012_t0,step_t0_0012,t0,dtest,gemini-pro,0.1829,0.1362,0.0467,0.7296,0.2932,0.0897,0.3721,0.0822,False,False,False,False,medium
dtest_case_0012,dtest_case_0012_t2,step_t2_0012,t2,dtest,gemini-pro,0.7717,0.1829,0.5888,0.1014,0.0,0.3318,0.4615,0.1863,False,True,False,False,medium
dtest_case_0013,dtest_case_0013_t0,step_t0_0013,t0,dtest,gemini-pro,0.4174,0.3293,0.0881,0.6615,0.9651,0.0241,0.2888,0.0662,False,True,False,False,medium
dtest_case_0014,dtest_case_0014_t1,step_t1_0014,t1,dtest,claude-3,0.1746,0.2451,-0.0705,0.7472,0.688,0.0063,0.2576,0.3902,False,True,False,False,medium
dtest_case_0015,dtest_case_0015_t0,step_t0_0015,t0,dtest,gpt-4,0.2729,0.1438,0.1291,0.8373,0.6738,0.0498,0.155,0.1589,False,True,False,False,medium
dtest_case_0015,dtest_case_0015_t2,step_t2_0015,t2,dtest,gpt-4,0.3699,0.2729,0.097,0.7723,0.6552,0.2125,0.1889,0.3346,False,True,False,False,medium
dtest_case_0016,dtest_case_0016_t0,step_t0_0016,t0,dtest,gpt-4,0.1676,0.0605,0.1071,0.8347,0.2638,0.1405,0.2485,0.3061,False,True,False,False,medium
dtest_case_0016,dtest_case_0016_t1,step_t1_0016,t1,dtest,gpt-4,0.6505,0.1676,0.4829,0.084,0.3513,-0.3911,0.4487,0.2106,False,False,False,False,medium
dtest_case_0017,dtest_case_0017_t0,step_t0_0017,t0,dtest,mistral,0.8779,0.7479,0.13,0.2336,0.2707,-0.3984,0.0981,0.2022,False,True,False,False,easy
dtest_case_0017,dtest_case_0017_t1,step_t1_0017,t1,dtest,mistral,0.7562,0.8779,-0.1217,0.4494,0.2727,0.2604,0.4027,0.3955,False,True,False,False,easy
dtest_case_0018,dtest_case_0018_t0,step_t0_0018,t0,dtest,gemini-pro,0.3727,0.2283,0.1444,0.9805,0.1064,0.1032,0.162,0.0348,False,True,False,False,hard
dtest_case_0018,dtest_case_0018_t1,step_t1_0018,t1,dtest,gemini-pro,0.8312,0.3727,0.4585,0.4317,0.0991,-0.1494,0.3215,0.2816,False,True,False,False,hard
dtest_case_0019,dtest_case_0019_t0,step_t0_0019,t0,dtest,gpt-4,0.1843,0.0605,0.1238,0.7771,0.6137,0.3153,0.1726,0.3095,False,True,False,False,hard
dtest_case_0019,dtest_case_0019_t1,step_t1_0019,t1,dtest,gpt-4,0.3944,0.1843,0.2101,0.7268,0.9898,0.2899,0.0571,0.2263,False,False,False,False,hard
