case_id,model_source,difficulty_tier,n_total_checkpoints,n_checkable_checkpoints,n_unverifiable_checkpoints,checkable_rate,main_unverifiable_reason
dtest_case_0000,current_local,standard,2,2,0,1.0,
dtest_case_0001,current_local,standard,3,0,3,0.0,unverifiable_predicate
dtest_case_0002,current_local,standard,4,1,3,0.25,timeout
dtest_case_0003,current_local,standard,2,2,0,1.0,
dtest_case_0004,current_local,standard,4,0,4,0.0,unverifiable_predicate
dtest_case_0005,current_local,standard,3,1,2,0.3333,format_error
dtest_case_0006,current_local,standard,2,2,0,1.0,
dtest_case_0007,current_local,standard,4,4,0,1.0,
dtest_case_0008,current_local,complex,2,0,2,0.0,unverifiable_predicate
dtest_case_0009,current_local,complex,4,2,2,0.5,schema_mismatch
dtest_case_0010,current_local,complex,4,0,4,0.0,schema_mismatch
dtest_case_0011,current_local,standard,4,4,0,1.0,
dtest_case_0012,current_local,standard,2,0,2,0.0,unverifiable_predicate
dtest_case_0013,current_local,standard,4,4,0,1.0,
dtest_case_0014,current_local,standard,4,1,3,0.25,schema_mismatch
dtest_case_0015,current_local,standard,3,3,0,1.0,
dtest_case_0016,current_local,standard,3,2,1,0.6667,
dtest_case_0017,current_local,standard,3,3,0,1.0,
dtest_case_0018,current_local,standard,4,2,2,0.5,format_error
dtest_case_0019,current_local,complex,2,1,1,0.5,timeout
dtest_case_0020,current_local,standard,2,2,0,1.0,
dtest_case_0021,current_local,complex,2,2,0,1.0,
dtest_case_0022,current_local,complex,3,0,3,0.0,format_error
dtest_case_0023,current_local,standard,4,4,0,1.0,
dtest_case_0024,current_local,standard,2,2,0,1.0,
dtest_case_0025,current_local,complex,2,1,1,0.5,timeout
dtest_case_0026,current_local,standard,4,3,1,0.75,
dtest_case_0027,current_local,standard,3,1,2,0.3333,
dtest_case_0028,current_local,standard,3,1,2,0.3333,format_error
dtest_case_0029,current_local,standard,2,2,0,1.0,
dtest_case_0030,current_local,standard,2,0,2,0.0,schema_mismatch
dtest_case_0031,current_local,deep_nesting,2,2,0,1.0,
dtest_case_0032,current_local,standard,4,2,2,0.5,format_error
dtest_case_0033,current_local,standard,3,1,2,0.3333,format_error
dtest_case_0034,current_local,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0035,current_local,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0036,current_local,deep_nesting,2,2,0,1.0,
dtest_case_0037,current_local,standard,3,3,0,1.0,
dtest_case_0038,current_local,standard,2,1,1,0.5,format_error
dtest_case_0039,current_local,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0040,current_local,standard,2,2,0,1.0,
dtest_case_0041,current_local,standard,4,4,0,1.0,
dtest_case_0042,current_local,complex,4,1,3,0.25,
dtest_case_0043,current_local,standard,2,2,0,1.0,
dtest_case_0044,current_local,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0045,current_local,complex,2,1,1,0.5,format_error
dtest_case_0046,current_local,complex,3,3,0,1.0,
dtest_case_0047,current_local,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0048,current_local,complex,4,3,1,0.75,format_error
dtest_case_0049,current_local,standard,2,2,0,1.0,
dtest_case_0050,current_local,standard,3,3,0,1.0,
dtest_case_0051,current_local,deep_nesting,4,3,1,0.75,timeout
dtest_case_0052,current_local,standard,4,1,3,0.25,schema_mismatch
dtest_case_0053,current_local,standard,4,2,2,0.5,
dtest_case_0054,current_local,complex,2,1,1,0.5,schema_mismatch
dtest_case_0055,current_local,complex,4,3,1,0.75,unverifiable_predicate
dtest_case_0056,current_local,complex,3,2,1,0.6667,format_error
dtest_case_0057,current_local,deep_nesting,3,2,1,0.6667,unverifiable_predicate
dtest_case_0058,current_local,standard,2,2,0,1.0,
dtest_case_0059,current_local,deep_nesting,2,1,1,0.5,unverifiable_predicate
dtest_case_0060,current_local,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0061,current_local,standard,3,2,1,0.6667,timeout
dtest_case_0062,current_local,complex,2,1,1,0.5,schema_mismatch
dtest_case_0063,current_local,complex,2,2,0,1.0,
dtest_case_0064,current_local,standard,4,2,2,0.5,format_error
dtest_case_0065,current_local,complex,2,1,1,0.5,unverifiable_predicate
dtest_case_0066,current_local,standard,3,1,2,0.3333,timeout
dtest_case_0067,current_local,standard,3,1,2,0.3333,
dtest_case_0068,current_local,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0069,current_local,standard,3,3,0,1.0,
