case_id,difficulty_tier,scope_category,boundary_type,n_scope_crossings,recursive_call_depth,has_boundary_annotation,annotation_type,exclusion_trigger,documentation_notes
dtest_case_0000,standard,standard_scope,none,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0001,standard,standard_scope,soft,1,1,False,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0002,standard,standard_scope,none,1,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0003,standard,standard_scope,soft,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0004,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0005,standard,standard_scope,soft,0,0,False,mid_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0006,standard,standard_scope,soft,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0007,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0008,complex,complex_scope,hard,0,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0009,complex,complex_scope,soft,1,1,True,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0010,complex,complex_scope,none,1,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0011,standard,standard_scope,hard,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0012,standard,standard_scope,none,0,0,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0013,standard,standard_scope,hard,1,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0014,standard,standard_scope,hard,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0015,standard,standard_scope,soft,0,0,False,mid_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0016,standard,standard_scope,soft,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0017,standard,standard_scope,soft,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0018,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0019,complex,complex_scope,none,0,0,False,post_boundary,unverifiable,Tier complex: Complex multi-table join
dtest_case_0020,standard,standard_scope,none,1,1,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0021,complex,complex_scope,hard,1,0,False,none,none,Tier complex: Complex multi-table join
dtest_case_0022,complex,complex_scope,none,1,0,False,post_boundary,gate_fail,Tier complex: Complex multi-table join
