case_id,checkpoint_id,step_position,trial_id,perturbation_id,verifier_pass,verifier_rule_triggered,verifier_error_code,gate_pass,unverifiable_flag
dtest_case_0121,chk_00838,t1,trial_00000,perturb_09,False,rule_hc2,ERR_FORMAT,False,False
dtest_case_0316,chk_00937,t2,trial_00001,perturb_04,False,rule_hc3,ERR_CONSTRAINT,False,False
dtest_case_0125,chk_00917,t2,trial_00002,perturb_06,True,rule_hc2,,True,False
dtest_case_0217,chk_00452,t1,trial_00003,perturb_01,True,rule_typecheck,,True,False
dtest_case_0170,chk_00411,t1,trial_00004,perturb_09,True,none,,False,False
dtest_case_0260,chk_00933,t1,trial_00005,perturb_08,False,rule_hc3,ERR_TYPE,False,False
dtest_case_0332,chk_00790,t0,trial_00006,perturb_07,False,rule_hc1,ERR_SCHEMA,False,False
dtest_case_0046,chk_00955,t0,trial_00007,perturb_04,False,none,ERR_TYPE,False,False
dtest_case_0104,chk_00615,t0,trial_00008,perturb_06,True,none,,True,False
dtest_case_0324,chk_00481,t0,trial_00009,perturb_03,False,rule_hc3,ERR_TYPE,False,False
dtest_case_0304,chk_00461,t1,trial_00010,perturb_07,True,rule_hc2,,True,False
dtest_case_0294,chk_00510,t1,trial_00011,perturb_04,False,rule_consistency,ERR_SCHEMA,False,False
dtest_case_0065,chk_00877,t0,trial_00012,perturb_09,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0049,chk_00765,t1,trial_00013,perturb_03,True,rule_consistency,,False,True
dtest_case_0054,chk_00159,t0,trial_00014,perturb_00,True,rule_consistency,,False,False
dtest_case_0291,chk_00180,t2,trial_00015,perturb_03,True,rule_consistency,,True,False
dtest_case_0359,chk_00333,t0,trial_00016,perturb_09,True,rule_hc1,,True,False
dtest_case_0316,chk_00949,t2,trial_00017,perturb_02,True,rule_hc3,,True,False
dtest_case_0296,chk_00035,t1,trial_00018,perturb_08,True,rule_consistency,,True,False
dtest_case_0270,chk_00181,t1,trial_00019,perturb_05,False,none,ERR_FORMAT,False,True
dtest_case_0202,chk_00806,t1,trial_00020,perturb_05,False,rule_consistency,ERR_CONSTRAINT,False,False
dtest_case_0165,chk_00384,t1,trial_00021,perturb_08,True,rule_consistency,,True,False
dtest_case_0250,chk_00918,t0,trial_00022,perturb_09,True,rule_hc3,,True,False
dtest_case_0232,chk_00059,t2,trial_00023,perturb_04,False,rule_hc2,ERR_TYPE,False,False
dtest_case_0264,chk_00822,t1,trial_00024,perturb_00,False,rule_hc1,ERR_SCHEMA,False,False
dtest_case_0107,chk_00662,t2,trial_00025,perturb_05,True,rule_hc2,,True,False
dtest_case_0348,chk_00803,t0,trial_00026,perturb_04,True,rule_hc1,,True,True
dtest_case_0343,chk_00361,t0,trial_00027,perturb_00,True,rule_hc2,,True,False
dtest_case_0072,chk_00674,t1,trial_00028,perturb_08,False,rule_hc2,ERR_CONSTRAINT,False,False
dtest_case_0033,chk_00039,t2,trial_00029,perturb_05,True,rule_consistency,,False,False
dtest_case_0046,chk_00099,t2,trial_00030,perturb_09,True,rule_hc3,,True,False
dtest_case_0166,chk_00768,t0,trial_00031,perturb_04,True,rule_consistency,,True,True
dtest_case_0241,chk_00000,t1,trial_00032,perturb_09,True,rule_typecheck,,True,True
dtest_case_0343,chk_00106,t1,trial_00033,perturb_08,True,rule_consistency,,True,False
dtest_case_0266,chk_00898,t0,trial_00034,perturb_05,False,none,ERR_SCHEMA,False,False
dtest_case_0149,chk_00934,t0,trial_00035,perturb_07,False,rule_consistency,ERR_SCHEMA,False,False
