case_id,cpfc_first_degradation_step,cpfc_pattern_label,cpfc_entropy_score,cpfc_rank_score,cpfc_internal_diagnostic,cpfc_output_timestamp
case_001,t1,local_verification_collapse,31.4546,0.9389,high_confidence,2025-01-10T00:00:00
case_002,uncertain,local_verification_collapse,25.6075,0.2949,high_confidence,2025-01-10T01:00:00
case_003,t2,local_verification_collapse,29.4222,0.4755,low_confidence,2025-01-10T02:00:00
case_004,t2,local_verification_collapse,45.0313,0.7569,uncertain,2025-01-10T03:00:00
case_005,t0,burst_associated_degradation,43.6878,0.6891,medium_confidence,2025-01-10T04:00:00
case_006,t0,local_verification_collapse,41.7039,0.8636,high_confidence,2025-01-10T05:00:00
case_007,t0,dependency_mediated_propagation,16.0326,0.9968,uncertain,2025-01-10T06:00:00
case_008,none,boundary_case,49.7274,0.4269,low_confidence,2025-01-10T07:00:00
case_009,t2,local_verification_collapse,52.4465,0.1112,medium_confidence,2025-01-10T08:00:00
case_010,t2,boundary_case,38.4647,0.0304,low_confidence,2025-01-10T09:00:00
case_011,t0,local_verification_collapse,21.3816,0.7269,high_confidence,2025-01-10T10:00:00
case_012,uncertain,local_verification_collapse,27.3768,0.874,uncertain,2025-01-10T11:00:00
case_013,none,burst_associated_degradation,20.497,0.2207,uncertain,2025-01-10T12:00:00
case_014,t0,burst_associated_degradation,18.5786,0.1584,uncertain,2025-01-10T13:00:00
case_015,t0,unverifiable_or_excluded,44.6568,0.0622,uncertain,2025-01-10T14:00:00
case_016,t0,boundary_case,60.3333,0.8227,medium_confidence,2025-01-10T15:00:00
case_017,t1,boundary_case,21.4736,0.3114,medium_confidence,2025-01-10T16:00:00
case_018,t1,local_verification_collapse,11.754,0.4017,low_confidence,2025-01-10T17:00:00
case_019,t1,local_verification_collapse,21.9632,0.5028,medium_confidence,2025-01-10T18:00:00
case_020,t0,boundary_case,45.0392,0.8395,high_confidence,2025-01-10T19:00:00
case_021,t2,boundary_case,15.2267,0.6508,high_confidence,2025-01-10T20:00:00
case_022,t0,unverifiable_or_excluded,34.7082,0.6151,uncertain,2025-01-10T21:00:00
case_023,t0,dependency_mediated_propagation,41.2302,0.1757,high_confidence,2025-01-10T22:00:00
case_024,t1,dependency_mediated_propagation,39.8411,0.5132,low_confidence,2025-01-10T23:00:00
case_025,t1,boundary_case,35.5328,0.7154,medium_confidence,2025-01-11T00:00:00
case_026,none,dependency_mediated_propagation,20.6554,0.9733,medium_confidence,2025-01-11T01:00:00
case_027,t0,unverifiable_or_excluded,31.17,0.2014,medium_confidence,2025-01-11T02:00:00
case_028,t1,unverifiable_or_excluded,37.344,0.0095,high_confidence,2025-01-11T03:00:00
case_029,t2,dependency_mediated_propagation,20.6432,0.0753,medium_confidence,2025-01-11T04:00:00
case_030,t0,boundary_case,19.1153,0.3759,uncertain,2025-01-11T05:00:00
case_031,t2,boundary_case,3.9305,0.8205,uncertain,2025-01-11T06:00:00
case_032,t0,local_verification_collapse,42.172,0.0071,uncertain,2025-01-11T07:00:00
case_033,t0,unverifiable_or_excluded,5.7996,0.4567,high_confidence,2025-01-11T08:00:00
case_034,uncertain,dependency_mediated_propagation,19.2141,0.3292,medium_confidence,2025-01-11T09:00:00
case_035,uncertain,boundary_case,62.645,0.0525,high_confidence,2025-01-11T10:00:00
case_036,none,dependency_mediated_propagation,39.5746,0.4502,medium_confidence,2025-01-11T11:00:00
case_037,t1,unverifiable_or_excluded,46.6678,0.2547,low_confidence,2025-01-11T12:00:00
case_038,t0,dependency_mediated_propagation,33.3875,0.3519,low_confidence,2025-01-11T13:00:00
case_039,t2,local_verification_collapse,37.8275,0.7056,high_confidence,2025-01-11T14:00:00
case_040,t1,unverifiable_or_excluded,45.063,0.5216,uncertain,2025-01-11T15:00:00
case_041,t0,local_verification_collapse,14.3815,0.1246,high_confidence,2025-01-11T16:00:00
case_042,t1,dependency_mediated_propagation,28.1667,0.9614,uncertain,2025-01-11T17:00:00
case_043,t0,unverifiable_or_excluded,48.4243,0.6359,medium_confidence,2025-01-11T18:00:00
case_044,uncertain,unverifiable_or_excluded,20.4846,0.7659,uncertain,2025-01-11T19:00:00
case_045,t0,burst_associated_degradation,36.3493,0.0792,uncertain,2025-01-11T20:00:00
case_046,t2,burst_associated_degradation,6.9248,0.0471,medium_confidence,2025-01-11T21:00:00
case_047,t1,dependency_mediated_propagation,51.9176,0.0194,low_confidence,2025-01-11T22:00:00
case_048,t1,local_verification_collapse,33.6797,0.1888,medium_confidence,2025-01-11T23:00:00
case_049,t1,dependency_mediated_propagation,37.2243,0.4144,high_confidence,2025-01-12T00:00:00
case_050,t0,burst_associated_degradation,53.1408,0.9358,high_confidence,2025-01-12T01:00:00
case_051,uncertain,boundary_case,23.5291,0.4571,high_confidence,2025-01-12T02:00:00
case_052,none,boundary_case,15.2174,0.2903,high_confidence,2025-01-12T03:00:00
case_053,uncertain,boundary_case,16.3347,0.5619,high_confidence,2025-01-12T04:00:00
case_054,none,local_verification_collapse,25.14,0.1119,low_confidence,2025-01-12T05:00:00
case_055,t2,dependency_mediated_propagation,25.98,0.6095,low_confidence,2025-01-12T06:00:00
case_056,uncertain,local_verification_collapse,26.1028,0.5684,uncertain,2025-01-12T07:00:00
case_057,t0,dependency_mediated_propagation,19.2846,0.792,high_confidence,2025-01-12T08:00:00
case_058,t0,dependency_mediated_propagation,41.8396,0.9867,medium_confidence,2025-01-12T09:00:00
case_059,t0,unverifiable_or_excluded,16.487,0.2509,high_confidence,2025-01-12T10:00:00
case_060,t1,dependency_mediated_propagation,33.6146,0.5097,low_confidence,2025-01-12T11:00:00
case_061,t1,local_verification_collapse,8.5826,0.9089,high_confidence,2025-01-12T12:00:00
case_062,t0,local_verification_collapse,30.8917,0.7852,low_confidence,2025-01-12T13:00:00
case_063,none,boundary_case,31.6895,0.4874,uncertain,2025-01-12T14:00:00
case_064,t1,burst_associated_degradation,16.5507,0.9454,uncertain,2025-01-12T15:00:00
case_065,t0,local_verification_collapse,36.831,0.0572,uncertain,2025-01-12T16:00:00
case_066,t1,local_verification_collapse,47.1389,0.931,low_confidence,2025-01-12T17:00:00
case_067,t0,boundary_case,29.1713,0.0505,high_confidence,2025-01-12T18:00:00
case_068,none,local_verification_collapse,36.4664,0.5473,high_confidence,2025-01-12T19:00:00
case_069,t0,boundary_case,54.3755,0.8904,medium_confidence,2025-01-12T20:00:00
case_070,uncertain,boundary_case,18.554,0.2627,low_confidence,2025-01-12T21:00:00
case_071,none,local_verification_collapse,24.4196,0.4722,medium_confidence,2025-01-12T22:00:00
case_072,t0,local_verification_collapse,27.865,0.3243,uncertain,2025-01-12T23:00:00
case_073,t0,unverifiable_or_excluded,45.8272,0.9521,high_confidence,2025-01-13T00:00:00
case_074,none,dependency_mediated_propagation,11.7027,0.8236,low_confidence,2025-01-13T01:00:00
case_075,t2,dependency_mediated_propagation,23.8097,0.709,medium_confidence,2025-01-13T02:00:00
case_076,t2,boundary_case,42.3221,0.5876,medium_confidence,2025-01-13T03:00:00
case_077,none,unverifiable_or_excluded,34.0407,0.8206,medium_confidence,2025-01-13T04:00:00
case_078,t0,unverifiable_or_excluded,51.4156,0.3923,high_confidence,2025-01-13T05:00:00
case_079,t1,boundary_case,34.064,0.4476,high_confidence,2025-01-13T06:00:00
case_080,t0,dependency_mediated_propagation,30.9306,0.73,high_confidence,2025-01-13T07:00:00
case_081,none,local_verification_collapse,37.1784,0.3578,low_confidence,2025-01-13T08:00:00
case_082,t2,boundary_case,31.1228,0.0639,high_confidence,2025-01-13T09:00:00
case_083,t1,burst_associated_degradation,38.6548,0.0743,low_confidence,2025-01-13T10:00:00
case_084,t0,dependency_mediated_propagation,16.8558,0.1154,medium_confidence,2025-01-13T11:00:00
case_085,t1,unverifiable_or_excluded,17.4072,0.8697,medium_confidence,2025-01-13T12:00:00
case_086,t1,local_verification_collapse,28.1279,0.4722,uncertain,2025-01-13T13:00:00
case_087,t2,dependency_mediated_propagation,28.2515,0.7129,high_confidence,2025-01-13T14:00:00
case_088,t2,local_verification_collapse,17.322,0.3929,medium_confidence,2025-01-13T15:00:00
case_089,none,dependency_mediated_propagation,34.9156,0.2587,high_confidence,2025-01-13T16:00:00
case_090,t1,local_verification_collapse,11.2239,0.3472,low_confidence,2025-01-13T17:00:00
case_091,t0,local_verification_collapse,67.224,0.7942,medium_confidence,2025-01-13T18:00:00
case_092,t2,local_verification_collapse,47.0633,0.6252,high_confidence,2025-01-13T19:00:00
