case_id,endpoint_correct,endpoint_error_type,execution_time_ms,result_match_gold,endpoint_timestamp
case_001,True,none,10030.43,True,2025-01-12T00:00:00
case_002,False,timeout,1240.56,False,2025-01-12T01:00:00
case_003,False,none,968.71,False,2025-01-12T02:00:00
case_004,False,none,2138.15,False,2025-01-12T03:00:00
case_005,True,execution_error,510.07,True,2025-01-12T04:00:00
case_006,False,execution_error,45744.0,False,2025-01-12T05:00:00
case_007,False,execution_error,1274.63,,2025-01-12T06:00:00
case_008,True,execution_error,10377.81,True,2025-01-12T07:00:00
case_009,False,syntax_error,4081.44,,2025-01-12T08:00:00
case_010,False,semantic_error,680.75,False,2025-01-12T09:00:00
case_011,False,timeout,2954.45,False,2025-01-12T10:00:00
case_012,False,execution_error,9662.47,False,2025-01-12T11:00:00
case_013,False,none,2247.58,True,2025-01-12T12:00:00
case_014,True,none,17848.4,False,2025-01-12T13:00:00
case_015,True,other,13797.92,,2025-01-12T14:00:00
case_016,True,semantic_error,11829.74,False,2025-01-12T15:00:00
case_017,False,semantic_error,1495.95,,2025-01-12T16:00:00
case_018,True,semantic_error,590.07,False,2025-01-12T17:00:00
case_019,True,execution_error,1187.52,True,2025-01-12T18:00:00
case_020,True,none,4001.25,False,2025-01-12T19:00:00
case_021,False,semantic_error,6759.34,,2025-01-12T20:00:00
case_022,False,none,114.74,False,2025-01-12T21:00:00
case_023,False,execution_error,2944.9,,2025-01-12T22:00:00
case_024,False,timeout,3778.69,,2025-01-12T23:00:00
case_025,False,timeout,1965.86,False,2025-01-13T00:00:00
case_026,True,semantic_error,20679.76,True,2025-01-13T01:00:00
case_027,False,execution_error,5612.04,False,2025-01-13T02:00:00
case_028,False,execution_error,21275.0,False,2025-01-13T03:00:00
case_029,False,syntax_error,2156.11,False,2025-01-13T04:00:00
case_030,False,execution_error,12163.76,False,2025-01-13T05:00:00
case_031,False,syntax_error,34634.29,False,2025-01-13T06:00:00
case_032,False,execution_error,21322.97,False,2025-01-13T07:00:00
case_033,False,execution_error,579.28,False,2025-01-13T08:00:00
case_034,False,execution_error,2037.51,False,2025-01-13T09:00:00
case_035,False,none,1776.24,False,2025-01-13T10:00:00
case_036,False,syntax_error,6209.79,False,2025-01-13T11:00:00
case_037,True,none,8345.94,False,2025-01-13T12:00:00
case_038,False,semantic_error,846.97,,2025-01-13T13:00:00
case_039,True,semantic_error,3300.26,False,2025-01-13T14:00:00
case_040,False,other,144.04,False,2025-01-13T15:00:00
case_041,False,syntax_error,25923.82,False,2025-01-13T16:00:00
case_042,False,execution_error,1382.21,True,2025-01-13T17:00:00
case_043,False,execution_error,3241.51,True,2025-01-13T18:00:00
case_044,True,semantic_error,1873.43,,2025-01-13T19:00:00
case_045,True,semantic_error,16631.29,False,2025-01-13T20:00:00
case_046,False,semantic_error,42.26,False,2025-01-13T21:00:00
case_047,True,other,2907.6,False,2025-01-13T22:00:00
case_048,True,execution_error,2543.44,True,2025-01-13T23:00:00
case_049,False,semantic_error,1509.52,False,2025-01-14T00:00:00
case_050,False,execution_error,39709.27,False,2025-01-14T01:00:00
case_051,False,none,787.61,False,2025-01-14T02:00:00
case_052,True,syntax_error,9487.16,False,2025-01-14T03:00:00
case_053,False,execution_error,5086.67,True,2025-01-14T04:00:00
case_054,False,execution_error,19777.08,True,2025-01-14T05:00:00
case_055,False,other,1095.77,,2025-01-14T06:00:00
case_056,False,semantic_error,992.82,False,2025-01-14T07:00:00
case_057,False,semantic_error,15430.55,False,2025-01-14T08:00:00
case_058,False,semantic_error,5641.93,True,2025-01-14T09:00:00
case_059,False,timeout,293.71,True,2025-01-14T10:00:00
case_060,False,semantic_error,1327.49,False,2025-01-14T11:00:00
case_061,False,execution_error,5321.84,False,2025-01-14T12:00:00
case_062,False,none,10473.95,False,2025-01-14T13:00:00
case_063,False,none,1076.16,True,2025-01-14T14:00:00
case_064,False,execution_error,37.66,False,2025-01-14T15:00:00
case_065,False,other,6534.39,True,2025-01-14T16:00:00
case_066,False,execution_error,477.96,True,2025-01-14T17:00:00
case_067,False,execution_error,144.6,False,2025-01-14T18:00:00
case_068,False,syntax_error,42.59,True,2025-01-14T19:00:00
case_069,False,other,10106.88,True,2025-01-14T20:00:00
case_070,False,syntax_error,3615.29,False,2025-01-14T21:00:00
case_071,False,semantic_error,2124.98,False,2025-01-14T22:00:00
case_072,False,syntax_error,23945.52,,2025-01-14T23:00:00
case_073,False,timeout,7754.18,False,2025-01-15T00:00:00
case_074,False,semantic_error,33672.95,True,2025-01-15T01:00:00
case_075,True,semantic_error,369.04,True,2025-01-15T02:00:00
case_076,True,syntax_error,2830.4,,2025-01-15T03:00:00
case_077,False,syntax_error,263.73,False,2025-01-15T04:00:00
case_078,False,execution_error,2113.13,False,2025-01-15T05:00:00
case_079,True,none,2053.04,True,2025-01-15T06:00:00
case_080,True,semantic_error,7630.59,False,2025-01-15T07:00:00
case_081,True,execution_error,3191.82,True,2025-01-15T08:00:00
case_082,True,none,7593.98,False,2025-01-15T09:00:00
case_083,True,syntax_error,8562.61,,2025-01-15T10:00:00
case_084,False,semantic_error,75538.14,,2025-01-15T11:00:00
case_085,False,other,1857.63,False,2025-01-15T12:00:00
