case_id,step_index,verification_passed,verification_type,confidence
case_001,t0,False,execution,0.75
case_001,t1,True,execution,0.57
case_001,t2,False,semantic,0.42
case_002,t0,False,semantic,0.36
case_002,t1,False,syntax,0.57
case_002,t2,True,syntax,0.57
case_002,t3,True,semantic,0.34
case_003,t0,False,schema,0.67
case_003,t1,True,semantic,0.55
case_003,t2,False,schema,0.79
case_003,t3,True,semantic,0.56
case_003,t4,False,semantic,0.52
case_004,t0,False,schema,0.33
case_004,t1,False,execution,0.86
case_004,t2,False,syntax,0.87
case_004,t3,True,semantic,0.73
case_004,t4,True,execution,0.31
case_005,t0,True,schema,0.31
case_005,t1,True,syntax,0.74
case_005,t2,True,semantic,0.81
case_005,t3,True,execution,0.48
case_006,t0,True,semantic,0.78
case_006,t1,False,syntax,0.7
case_006,t2,True,schema,0.67
case_006,t3,False,syntax,0.45
case_007,t0,True,semantic,0.83
case_007,t1,False,schema,0.46
case_007,t2,True,schema,0.36
case_008,t0,True,semantic,0.44
case_008,t1,True,execution,0.57
case_008,t2,True,semantic,0.46
case_009,t0,True,syntax,0.8
case_009,t1,True,execution,0.78
case_009,t2,True,syntax,0.36
case_009,t3,True,schema,0.66
case_009,t4,False,execution,0.6
case_010,t0,True,schema,0.57
case_010,t1,True,schema,0.67
case_010,t2,False,semantic,0.88
case_010,t3,True,syntax,0.41
case_011,t0,True,syntax,0.72
case_011,t1,False,semantic,0.95
case_011,t2,False,syntax,0.79
case_012,t0,False,schema,0.49
case_012,t1,False,schema,0.68
case_012,t2,True,syntax,0.59
case_012,t3,False,execution,0.89
case_012,t4,False,schema,0.48
case_013,t0,True,semantic,0.34
case_013,t1,False,semantic,0.89
case_013,t2,False,syntax,0.7
case_013,t3,True,syntax,0.37
case_013,t4,False,semantic,0.33
case_014,t0,False,execution,0.49
case_014,t1,False,schema,0.5
case_014,t2,False,execution,0.53
case_014,t3,False,schema,0.69
case_014,t4,True,syntax,0.87
case_015,t0,False,syntax,0.86
case_015,t1,False,execution,0.84
case_015,t2,True,schema,0.37
case_016,t0,False,execution,0.49
case_016,t1,False,syntax,0.42
case_016,t2,True,semantic,0.34
case_017,t0,True,semantic,0.54
case_017,t1,False,syntax,0.82
case_017,t2,False,semantic,0.84
case_018,t0,False,semantic,0.8
case_018,t1,True,schema,0.73
case_018,t2,False,semantic,0.39
case_019,t0,True,semantic,0.91
case_019,t1,False,semantic,0.61
case_019,t2,False,execution,0.8
case_019,t3,False,semantic,0.83
case_019,t4,True,semantic,0.38
case_020,t0,False,syntax,0.91
case_020,t1,True,schema,0.51
case_020,t2,False,schema,0.4
case_020,t3,True,execution,0.74
case_020,t4,True,syntax,0.89
case_021,t0,True,semantic,0.78
case_021,t1,False,semantic,0.43
case_021,t2,True,syntax,0.63
case_021,t3,True,syntax,0.45
case_021,t4,False,schema,0.75
case_022,t0,False,semantic,0.51
case_022,t1,False,semantic,0.94
case_022,t2,False,execution,0.35
case_022,t3,False,execution,0.83
case_022,t4,True,syntax,0.5
case_023,t0,True,semantic,0.5
case_023,t1,True,schema,0.63
case_023,t2,True,schema,0.52
case_023,t3,True,execution,0.58
case_024,t0,True,syntax,0.62
case_024,t1,False,schema,0.8
case_024,t2,True,execution,0.65
case_024,t3,False,execution,0.91
case_024,t4,True,schema,0.85
case_025,t0,True,execution,0.6
case_025,t1,False,semantic,0.84
case_025,t2,False,schema,0.88
case_025,t3,False,semantic,0.82
case_026,t0,True,schema,0.45
case_026,t1,True,syntax,0.71
case_026,t2,False,syntax,0.33
case_026,t3,True,schema,0.82
case_027,t0,True,semantic,0.57
case_027,t1,False,execution,0.9
case_027,t2,False,semantic,0.41
case_027,t3,True,execution,0.65
case_028,t0,True,semantic,0.91
