case_id,pair_type,selection_rule,cpfc_onset,cpfc_pattern,human_onset_if_available,human_pattern_if_available,consistent_with_B2,why_endpoint_only_fails,why_simple_step_fails
dtest_case_0002,A,pair_A_same_endpoint_fail_different_onset,uncertain,local_verification_collapse,t1,local_verification_collapse,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0017,A,pair_A_same_endpoint_fail_different_onset,t1,boundary_case,t2,boundary_case,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0023,A,pair_A_same_endpoint_fail_different_onset,t0,dependency_mediated_propagation,t0,dependency_mediated_propagation,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0016,B,pair_B_same_onset_different_pattern,t0,boundary_case,t0,boundary_case,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0043,B,pair_B_same_onset_different_pattern,t0,unverifiable_or_excluded,t0,unverifiable_or_excluded,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0057,B,pair_B_same_onset_different_pattern,t0,dependency_mediated_propagation,t0,dependency_mediated_propagation,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0012,C,pair_C_standard_vs_deep_nesting,t0,local_verification_collapse,t0,local_verification_collapse,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0066,C,pair_C_standard_vs_deep_nesting,t1,burst_associated_degradation,t1,burst_associated_degradation,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0081,C,pair_C_standard_vs_deep_nesting,t0,burst_associated_degradation,t0,burst_associated_degradation,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
dtest_case_0096,C,pair_C_standard_vs_deep_nesting,t0,dependency_mediated_propagation,t0,dependency_mediated_propagation,True,endpoint_only_cannot_localize_degradation,simple_step_cannot_distinguish_pattern
