annotation_case_id,annotator_id,annotated_first_degradation_step,annotated_pattern_label,onset_confidence,pattern_confidence,boundary_flag,unverifiable_flag,ambiguous_flag,used_schema_flag,free_text_rationale,annotation_timestamp
annot_001,A,uncertain,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_001: Based on checkpoint sequence analysis.,2025-02-05T09:05:00
annot_002,A,uncertain,local_verification_collapse,5,5,False,True,False,True,Rationale for annot_002: Based on checkpoint sequence analysis.,2025-02-05T09:23:00
annot_003,A,t0,boundary_case,5,5,True,False,False,True,Rationale for annot_003: Based on checkpoint sequence analysis.,2025-02-05T09:44:00
annot_004,A,t1,boundary_case,5,5,False,False,False,False,Rationale for annot_004: Based on checkpoint sequence analysis.,2025-02-05T10:06:00
annot_005,A,t1,local_verification_collapse,5,5,False,False,False,True,Rationale for annot_005: Based on checkpoint sequence analysis.,2025-02-05T10:26:00
annot_006,A,t1,dependency_mediated_propagation,2,5,False,True,False,True,Rationale for annot_006: Based on checkpoint sequence analysis.,2025-02-05T10:40:00
annot_007,A,t1,burst_associated_degradation,5,2,True,False,False,True,Rationale for annot_007: Based on checkpoint sequence analysis.,2025-02-05T11:05:00
annot_008,A,none,local_verification_collapse,5,2,False,False,False,True,Rationale for annot_008: Based on checkpoint sequence analysis.,2025-02-05T11:25:00
annot_009,A,t1,local_verification_collapse,2,2,True,False,False,True,Rationale for annot_009: Based on checkpoint sequence analysis.,2025-02-05T11:43:00
annot_010,A,uncertain,dependency_mediated_propagation,5,5,True,False,False,True,Rationale for annot_010: Based on checkpoint sequence analysis.,2025-02-05T12:08:00
annot_011,A,uncertain,boundary_case,5,5,True,True,False,True,Rationale for annot_011: Based on checkpoint sequence analysis.,2025-02-05T12:29:00
annot_012,A,t0,unverifiable_or_excluded,3,5,False,False,False,True,Rationale for annot_012: Based on checkpoint sequence analysis.,2025-02-05T12:40:00
annot_013,A,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_013: Based on checkpoint sequence analysis.,2025-02-05T13:03:00
annot_014,A,t1,unverifiable_or_excluded,2,5,True,True,False,True,Rationale for annot_014: Based on checkpoint sequence analysis.,2025-02-05T13:20:00
annot_015,A,t2,dependency_mediated_propagation,5,3,False,False,False,True,Rationale for annot_015: Based on checkpoint sequence analysis.,2025-02-05T13:45:00
annot_016,A,t1,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_016: Based on checkpoint sequence analysis.,2025-02-05T14:07:00
annot_017,A,uncertain,boundary_case,5,5,False,False,False,True,Rationale for annot_017: Based on checkpoint sequence analysis.,2025-02-05T14:28:00
annot_018,A,uncertain,local_verification_collapse,5,5,True,True,False,True,Rationale for annot_018: Based on checkpoint sequence analysis.,2025-02-05T14:49:00
annot_019,A,t0,dependency_mediated_propagation,5,5,True,False,False,True,Rationale for annot_019: Based on checkpoint sequence analysis.,2025-02-05T15:08:00
annot_020,A,t0,dependency_mediated_propagation,5,5,False,True,True,True,Rationale for annot_020: Based on checkpoint sequence analysis.,2025-02-05T15:20:00
annot_021,A,t0,local_verification_collapse,2,5,False,False,False,True,Rationale for annot_021: Based on checkpoint sequence analysis.,2025-02-05T15:46:00
annot_022,A,t2,burst_associated_degradation,2,5,False,False,False,True,Rationale for annot_022: Based on checkpoint sequence analysis.,2025-02-05T16:01:00
annot_023,A,t0,boundary_case,5,5,True,False,False,True,Rationale for annot_023: Based on checkpoint sequence analysis.,2025-02-05T16:21:00
annot_024,A,t0,unverifiable_or_excluded,5,5,False,False,False,True,Rationale for annot_024: Based on checkpoint sequence analysis.,2025-02-05T16:47:00
annot_025,A,none,dependency_mediated_propagation,5,5,False,False,False,True,Rationale for annot_025: Based on checkpoint sequence analysis.,2025-02-05T17:08:00
annot_026,A,t2,dependency_mediated_propagation,5,2,True,False,False,True,Rationale for annot_026: Based on checkpoint sequence analysis.,2025-02-05T17:20:00
annot_027,A,none,unverifiable_or_excluded,5,5,False,True,False,True,Rationale for annot_027: Based on checkpoint sequence analysis.,2025-02-05T17:40:00
annot_028,A,t0,boundary_case,5,3,False,False,False,True,Rationale for annot_028: Based on checkpoint sequence analysis.,2025-02-05T18:08:00
annot_029,A,t0,unverifiable_or_excluded,3,2,False,False,False,True,Rationale for annot_029: Based on checkpoint sequence analysis.,2025-02-05T18:27:00
annot_030,A,t1,burst_associated_degradation,5,5,True,False,False,True,Rationale for annot_030: Based on checkpoint sequence analysis.,2025-02-05T18:43:00
annot_031,A,t1,burst_associated_degradation,5,2,False,False,False,True,Rationale for annot_031: Based on checkpoint sequence analysis.,2025-02-05T19:06:00
annot_032,A,t0,local_verification_collapse,5,5,True,False,False,True,Rationale for annot_032: Based on checkpoint sequence analysis.,2025-02-05T19:26:00
annot_033,A,t2,burst_associated_degradation,5,3,False,False,False,True,Rationale for annot_033: Based on checkpoint sequence analysis.,2025-02-05T19:48:00
annot_034,A,none,burst_associated_degradation,5,5,False,False,True,True,Rationale for annot_034: Based on checkpoint sequence analysis.,2025-02-05T20:01:00
