annotation_case_id,case_id,cpfc_first_degradation_step,cpfc_pattern_label,cpfc_boundary_flag,cpfc_unverifiable_flag,unblinding_timestamp
annot_001,case_002,uncertain,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_002,case_012,uncertain,local_verification_collapse,False,True,2025-02-12T10:00:00
annot_003,case_016,t0,boundary_case,True,False,2025-02-12T10:00:00
annot_004,case_017,t1,boundary_case,False,False,2025-02-12T10:00:00
annot_005,case_018,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_006,case_023,t0,dependency_mediated_propagation,False,True,2025-02-12T10:00:00
annot_007,case_025,t1,boundary_case,True,False,2025-02-12T10:00:00
annot_008,case_026,none,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_009,case_031,t2,boundary_case,True,False,2025-02-12T10:00:00
annot_010,case_034,uncertain,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_011,case_035,uncertain,boundary_case,True,True,2025-02-12T10:00:00
annot_012,case_040,t1,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_013,case_043,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_014,case_044,uncertain,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_015,case_046,t2,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_016,case_047,t1,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_017,case_051,uncertain,boundary_case,False,False,2025-02-12T10:00:00
annot_018,case_056,uncertain,local_verification_collapse,True,False,2025-02-12T10:00:00
annot_019,case_057,t0,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_020,case_058,t0,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_021,case_061,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_022,case_064,t1,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_023,case_067,t0,boundary_case,False,False,2025-02-12T10:00:00
annot_024,case_073,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_025,case_074,none,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_026,case_076,t2,boundary_case,False,False,2025-02-12T10:00:00
annot_027,case_077,none,unverifiable_or_excluded,False,True,2025-02-12T10:00:00
annot_028,case_078,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_029,case_079,t1,boundary_case,False,False,2025-02-12T10:00:00
annot_030,case_083,t1,burst_associated_degradation,True,False,2025-02-12T10:00:00
annot_031,case_085,t1,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_032,case_091,t0,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_033,case_094,t2,boundary_case,False,False,2025-02-12T10:00:00
annot_034,case_095,none,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_035,case_102,t2,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_036,case_109,t0,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_037,case_110,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_038,case_111,t0,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_039,case_114,none,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_040,case_115,t2,burst_associated_degradation,False,True,2025-02-12T10:00:00
annot_041,case_117,none,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_042,case_120,t1,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_043,case_125,t0,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_044,case_127,none,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_045,case_133,t0,dependency_mediated_propagation,False,True,2025-02-12T10:00:00
annot_046,case_138,t2,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_047,case_142,t0,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_048,case_146,t0,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_049,case_153,t0,dependency_mediated_propagation,True,False,2025-02-12T10:00:00
annot_050,case_154,t1,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_051,case_156,t0,boundary_case,False,False,2025-02-12T10:00:00
annot_052,case_158,none,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_053,case_164,t1,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_054,case_177,t2,dependency_mediated_propagation,True,False,2025-02-12T10:00:00
annot_055,case_181,t1,boundary_case,False,False,2025-02-12T10:00:00
annot_056,case_193,uncertain,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_057,case_194,t2,local_verification_collapse,True,False,2025-02-12T10:00:00
annot_058,case_195,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_059,case_196,t1,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_060,case_203,t0,boundary_case,False,False,2025-02-12T10:00:00
annot_061,case_209,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_062,case_219,t2,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_063,case_220,none,local_verification_collapse,True,False,2025-02-12T10:00:00
annot_064,case_221,t2,local_verification_collapse,False,True,2025-02-12T10:00:00
annot_065,case_223,t0,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_066,case_226,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_067,case_228,t1,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_068,case_230,t2,local_verification_collapse,True,False,2025-02-12T10:00:00
annot_069,case_232,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_070,case_234,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_071,case_238,t0,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_072,case_240,t0,dependency_mediated_propagation,False,True,2025-02-12T10:00:00
annot_073,case_250,none,boundary_case,True,False,2025-02-12T10:00:00
annot_074,case_251,t0,boundary_case,False,False,2025-02-12T10:00:00
annot_075,case_256,t2,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_076,case_275,t1,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_077,case_279,t2,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_078,case_284,t0,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_079,case_287,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_080,case_289,t0,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_081,case_293,none,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_082,case_298,t0,local_verification_collapse,False,True,2025-02-12T10:00:00
annot_083,case_306,uncertain,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_084,case_310,t0,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_085,case_311,t1,unverifiable_or_excluded,False,False,2025-02-12T10:00:00
annot_086,case_321,t1,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_087,case_323,t2,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_088,case_326,t2,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_089,case_327,t2,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_090,case_328,t2,local_verification_collapse,False,True,2025-02-12T10:00:00
annot_091,case_334,t0,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_092,case_342,t1,boundary_case,False,False,2025-02-12T10:00:00
annot_093,case_343,t0,burst_associated_degradation,False,False,2025-02-12T10:00:00
annot_094,case_345,t1,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_095,case_346,t2,dependency_mediated_propagation,False,True,2025-02-12T10:00:00
annot_096,case_348,t0,boundary_case,True,False,2025-02-12T10:00:00
annot_097,case_357,t0,boundary_case,False,False,2025-02-12T10:00:00
annot_098,case_358,t2,local_verification_collapse,False,False,2025-02-12T10:00:00
annot_099,case_366,t1,dependency_mediated_propagation,False,False,2025-02-12T10:00:00
annot_100,case_368,uncertain,dependency_mediated_propagation,False,True,2025-02-12T10:00:00
